textNames,authorGroup,titleGroup,totalWordsChunk,keywordsCount,principl.count,natur.count,knowledg.count,scienc.count,reason.count,general.count,law.count,philosophi.count,whole.count,true.count,system.count,foundat.count,imper.count,proposit.count,philosoph.count,maxim.count,genius.count,discov.count,hypothesi.count,hypothes.count,pubDate,language,volumeGroup,publicationPlace
1418700100.68.50.txt,"                  Sweet, Hartford, MWA              ","        The principles of natural and politic law, in two volumes. By J.J. Burlamaqui, counsellor of state, and late professor of natural and civil law at Geneva. Vol. I[-II]. Translated into English by Mr. Nugent.         The principles of natural and politic law, in two volumes. By J.J. Burlamaqui, counsellor of state, and late professor of natural and civil law ...         Principes du droit naturel et politique. English      ",685,86,23,23,3,0,6,3,19,0,3,3,0,2,0,0,0,1,0,0,0,0,17920101,English,        0         0      ,Boston
0037700101.2.169.txt,"                  Adams, George           1750           1795           1750-1795              ","        Lectures on natural and experimental philosophy, considered in it's present state of improvement. Describing, in a familiar and easy manney, the principal philomena of nature; and shewing, that they all co-operate in displaying the goodness, wisdom, and power of God. By George Adams, mathematical instrument maker to His Majesty, and optician to His Royal Highness the Price of Wales. In five volumes. The fifth volume consisting of the plates and index. ...         Lectures on natural and experimental philosophy, considered in it's present state of improvement. Describing, in a familiar and easy manney, the ...      ",745,23,17,4,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,17940101,English,        Volume 1         5                   Volume 2           Volume 3           Volume 4           Volume 5              ,London
0039300102.3.158.txt,,"        The protestant system: containing discourses on the principal doctrines of natural and revealed religion. Compiled from the works of the following Protestant dissenters, viz. Abernethy, Amory, Baker, Benson, Bulkeley, Chandler, Doddridge, Duchal, Emlyn, Fordyce, Foster, Grove, Holland, Leechman, Mason, Morris, Newman, &c. &c. To which are added, Four Discourses never before printed. In two volumes, ...         The protestant system: containing discourses on the principal doctrines of natural and revealed religion. Compiled from the works of the ...      ",726,23,17,1,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,17580101,English,        Volume 2         2                   Volume 1              , 8ŒÁ.
0340501300.21.5.txt,"                  Burlamaqui, J. J. (Jean Jacques)              ","        The principles of natural law. In which the true systems of morality and civil government are established; and The different Sentiments of Grotius, Hobbes, Puffendorf, Barbeyrac, Locke, Clark, and Hutchinson, occasionally considered. By J. J. Burlamaqui, Counsellor of State, and late Professor of Natural and Civil Law at Geneva. Translated into English by Mr. Nugent.         The principles of natural law. In which the true systems of morality and civil government are established; and The different Sentiments of ...         Principes du droit naturel. English      ",682,85,16,27,2,0,3,1,34,0,1,1,0,0,0,0,0,0,0,0,0,0,17480101,English,        0         0      ,London
1286201200.62.3.txt,"                  White, William           1792           fl. 1792              ","        A dissertation on government, with the balance considered; or, a free enquiry into the nature of the constitution, and the probable effect of a parliamentary reform. By William White, Esq.         A dissertation on government, with the balance considered; or, a free enquiry into the nature of the constitution, and the probable effect of a ...      ",673,24,14,0,1,0,2,1,0,0,1,1,0,3,0,0,0,0,0,0,1,0,17920101,English,        0         0      ,London
1468801300.70.25.txt,"                  Gifford, John           1758           1818           1758-1818              ","        A letter to the Hon. Thomas Erskine; Containing some strictures on his view of the causes and consequences of the present war with France. Third edition. By John Gifford, Esq. Author of a letter to the Earl of Lauderdale, &c. &c.         A letter to the Hon. Thomas Erskine; Containing some strictures on his view of the causes and consequences of the present war with France. Third ...      ",696,24,14,2,0,0,1,0,3,0,0,1,0,0,0,1,0,2,0,0,0,0,17970101,English,        0         0      ,London
1179400189.56.93.txt,"                  Oldenburg, Henry           1615?-1677              ","        Philosophical transactions: giving some accompt of the present undertakings, studies and labours of the ingenious in many considerable parts of the world.         Philosophical transactions: giving some accompt of the present undertakings, studies and labours of the ingenious in many considerable parts of ...         Philosophical transactions (London, England : 1667 : Cumulation)         Philosophical transactions: giving some account of the present undertakings      ",659,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17990101,English,        Volume 89         91                   Volume 23           Volume 24           Volume 25           Volume 26           Volume 27           Volume 28           Volume 29           Volume 30           Volume 31           Volume 32           Volume 33           Volume 34           Volume 35           Volume 36           Volume 37           Volume 38           Volume 39           Volume 40           Volume 41           Volume 42           Volume 43           Volume 44           Volume 45           Volume 46           Volume 47           Volume 48           Volume 49           Volume 50           Volume 51           Volume 52           Volume 52           Volume 53           Volume 54           Volume 55           Volume 56           Volume 57           Volume 58           Volume 59           Volume 60           Volume 61           Volume 62           Volume 63           Volume 64           Volume 65           Volume 66           Volume 67           Volume 68           Volume 69           Volume 70           Volume 71           Volume 72           Volume 73           Volume 74           Volume 75           Volume 76           Volume 77           Volume 78           Volume 79           Volume 80           Volume 81           Volume 82           Volume 83           Volume 84           Volume 85           Volume 86           Volume 87           Volume 88           Volume 90           Volume 91              ,London|Oxford.
1334100500.64.53.txt,"                  Kneeland, John           1729-1795              ","        Remarks on the Rev. Mr. Hopkins's answer to tract intitled, ""A vindication of the power, obligation and encouragement of the unregenerate to attend the means of grace,"" &c. By Moses Hemmenway, A.M. Pastor of the First Church in Wells. [Two lines of Scripture texts].         Remarks on the Rev. Mr. Hopkins's answer to tract intitled, ""A vindication of the power, obligation and encouragement of the unregenerate to ...      ",646,24,13,4,0,0,1,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,17740101,English,        0         0      ,Boston
1424900200.68.12.txt,"                  Forman, George           1770?-1833              ",        The age of reason. Being an investigation of true and of fabulous theology. By Thomas Paine.         The age of reason. Being an investigation of true and of fabulous theology. By Thomas Paine.         Age of reason. Part 1      ,684,24,13,0,3,4,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,0,17950101,English,        0         0      ,New York
1661200102.79.136.txt,"                  Carey, James           d. 1801              ","        The works of Thomas Paine, secretary for foreign affairs, to the Congress of the United States, in the late war. In two volumes. ...         The works of Thomas Paine, secretary for foreign affairs, to the Congress of the United States, in the late war. In two volumes. ...      ",692,24,13,3,0,0,0,0,4,0,3,0,0,1,0,0,0,0,0,0,0,0,17970101,English,        Volume 2         2                   Volume 1              , 8ŒÁ.
0037400403.2.177.txt,"                  Boyle, Robert           1627           1691           1627-1691              ","        The philosophical works of the Honourable Robert Boyle Esq; abridged, methodized, and disposed under the general heads of physics, statics, pneumatics, Natural History, Chymistry, and Medicine. The whole illustrated with Notes, containing the Improvements made in the several Parts of natural and experimental Knowledge since his time. In Three Volumes. By Peter Shaw, M.D.         The philosophical works of the Honourable Robert Boyle Esq; abridged, methodized, and disposed under the general heads of physics, statics, ...         Selections      ",710,23,13,1,2,0,1,2,0,1,0,1,0,0,0,0,2,0,0,0,0,0,17250101,English,        Volume 3         3                   Volume 1           Volume 2              ,London
0037700101.2.171.txt,"                  Adams, George           1750           1795           1750-1795              ","        Lectures on natural and experimental philosophy, considered in it's present state of improvement. Describing, in a familiar and easy manney, the principal philomena of nature; and shewing, that they all co-operate in displaying the goodness, wisdom, and power of God. By George Adams, mathematical instrument maker to His Majesty, and optician to His Royal Highness the Price of Wales. In five volumes. The fifth volume consisting of the plates and index. ...         Lectures on natural and experimental philosophy, considered in it's present state of improvement. Describing, in a familiar and easy manney, the ...      ",705,23,13,4,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0,0,17940101,English,        Volume 1         5                   Volume 2           Volume 3           Volume 4           Volume 5              ,London
0035400100.2.2.txt,"                  Bruce, John           1745           1826           1745-1826              ","        First principles of philosophy, and their application to the subjects of taste, science, and history. By John Bruce, A. M. Professor of Philosophy in the University, and Fellow of the Royal Society of Edinburgh.         First principles of philosophy, and their application to the subjects of taste, science, and history. By John Bruce, A. M. Professor of ...      ",707,101,12,27,2,18,4,6,17,5,0,0,0,1,0,0,2,1,0,5,0,1,17850101,English,        0         0      ,Edinburgh
0629600600.34.3.txt,"                  Short, Thomas           1690?           1772           1690?-1772              ","        The natural, experimental, and medicinal history of the mineral waters of Derbyshire, Lincolnshire, and Yorkshire, particularly those of Scarborough. Wherein, they are carefully examined and compared, their contents discovered and divided, their uses shewn and explained, and an account given of their discovery and alterations. Together with the Natural history of the earths, minerals and fossils through which the chief of them pass. The groundless theories, and false opinions of former writers are exposed, and their reasonings demonstrated to be injudicious and inconclusive. To which are added, large marginal notes, containing a methodical abstract of all the treatises hitherto published on these waters, with many observations and experiments. As also four copper-plates representing the crystals of the salts of thirty four of those waters. By Thomas Short, M.D. of Sheffield.         The natural, experimental, and medicinal history of the mineral waters of Derbyshire, Lincolnshire, and Yorkshire, particularly those of ...      ",681,13,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17340101,English,        0         0      ,London
